#options: 1920x1152 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=12000 vbv_bufsize=15000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.23 aq:13.00 tex:8607 mv:3826 misc:6519 imb:8640 pmb:0 smb:0 d:- ref:;
in:127 out:128 type:b dur:2 cpbdur:2 q:17.07 aq:11.46 tex:18183 mv:7903 misc:2210 imb:53 pmb:781 smb:7806 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:17.07 aq:11.33 tex:16943 mv:7998 misc:2163 imb:55 pmb:757 smb:7828 d:- ref:0 ;
in:134 out:130 type:P dur:2 cpbdur:2 q:16.47 aq:6.10 tex:181000 mv:14137 misc:1367 imb:784 pmb:1031 smb:6825 d:s ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:16.70 aq:7.39 tex:55616 mv:12432 misc:2192 imb:144 pmb:1152 smb:7344 d:s ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:16.70 aq:11.05 tex:17372 mv:8255 misc:2173 imb:57 pmb:805 smb:7778 d:s ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:16.69 aq:10.84 tex:23275 mv:8448 misc:2149 imb:70 pmb:802 smb:7768 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:16.69 aq:10.78 tex:24429 mv:8644 misc:2023 imb:75 pmb:782 smb:7783 d:- ref:0 ;
in:137 out:135 type:P dur:2 cpbdur:2 q:15.00 aq:3.72 tex:207533 mv:12706 misc:1449 imb:729 pmb:1073 smb:6838 d:s ref:0 ;
in:135 out:136 type:B dur:2 cpbdur:2 q:16.49 aq:8.79 tex:32642 mv:8233 misc:2149 imb:96 pmb:852 smb:7692 d:s ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:16.52 aq:10.27 tex:25053 mv:8119 misc:2220 imb:112 pmb:800 smb:7728 d:- ref:0 ;
in:142 out:138 type:P dur:2 cpbdur:2 q:15.32 aq:5.66 tex:271371 mv:14431 misc:1126 imb:1152 pmb:830 smb:6658 d:s ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:15.34 aq:6.46 tex:90289 mv:13365 misc:1762 imb:289 pmb:1170 smb:7181 d:s ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:15.34 aq:8.78 tex:32637 mv:9678 misc:2013 imb:126 pmb:912 smb:7602 d:s ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:15.34 aq:7.35 tex:44174 mv:9479 misc:2051 imb:216 pmb:829 smb:7595 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:15.34 aq:7.10 tex:40572 mv:9589 misc:1999 imb:175 pmb:863 smb:7602 d:- ref:0 ;
